pnode_id,pnode_name,pnode_type,pnode_subtype,zone,voltage_level,effective_date,termination_date
93140,LINDEN  13 KV   UNIT05,BUS,GEN,PSEG,13 KV,5/15/2000 0:00,12/31/9999 0:00
93141,LINDEN  13 KV   UNIT06,BUS,GEN,PSEG,13 KV,5/15/2000 0:00,12/31/9999 0:00
93142,BURLINGT13 KV   UNIT121,BUS,GEN,PSEG,13 KV,5/15/2000 0:00,12/31/9999 0:00
93143,BURLINGT13 KV   UNIT122,BUS,GEN,PSEG,13 KV,5/15/2000 0:00,12/31/9999 0:00
93144,BURLINGT13 KV   UNIT123,BUS,GEN,PSEG,13 KV,5/15/2000 0:00,12/31/9999 0:00
93145,BURLINGT13 KV   UNIT124,BUS,GEN,PSEG,13 KV,5/15/2000 0:00,12/31/9999 0:00
93149,INDIANRI230 KV  SVC,BUS,GEN,DPL,230 KV,5/15/2000 0:00,12/31/9999 0:00
93150,NEWCHURC13 KV   CT1,BUS,GEN,DPL,13 KV,5/15/2000 0:00,12/31/9999 0:00
93151,NEWCHURC13 KV   CT2,BUS,GEN,DPL,13 KV,5/15/2000 0:00,12/31/9999 0:00
93152,NEWCHURC13 KV   CT3,BUS,GEN,DPL,13 KV,5/15/2000 0:00,12/31/9999 0:00
93153,NELSON  138 KV  SVC,BUS,GEN,DPL,138 KV,5/15/2000 0:00,12/31/9999 0:00
93154,DPL_ODEC,AGGREGATE,AGGREGATE,,,1/1/2000 0:00,12/31/9999 0:00
113736,BERGENCC,AGGREGATE,AGGREGATE,,,3/7/2018 0:00,12/31/9999 0:00
113741,EAGLEGEN,AGGREGATE,AGGREGATE,,,3/7/2018 0:00,12/31/9999 0:00
113742,GRAYSFERRY,AGGREGATE,AGGREGATE,,,3/7/2018 0:00,12/31/9999 0:00
113745,GILBERTCC,AGGREGATE,AGGREGATE,,,3/7/2018 0:00,12/31/9999 0:00
113748,DEEPCREEK,AGGREGATE,AGGREGATE,,,3/7/2018 0:00,12/31/9999 0:00
113749,HAYROAD,AGGREGATE,AGGREGATE,,,3/7/2018 0:00,12/31/9999 0:00
205495,ERUTHERF26 KV   LOAD1,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205496,ERUTHERF26 KV   LOAD2,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205499,GLOUCEST26 KV   26-1,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205500,GLOUCEST26 KV   26-2,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205501,GLOUCEST26 KV   26-3,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205502,LAWRENCE26 KV   LOAD1,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205503,LAWRENCE26 KV   LOAD2,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205504,TRENTON 26 KV   LOAD AB,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205505,TRENTON 26 KV   LOAD OU,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205506,TRENTON 26 KV   LOAD IM,BUS,LOAD,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
205507,BRYNMAWR13 KV   19BUS,BUS,LOAD,PECO,13 KV,6/30/2000 0:00,12/31/9999 0:00
205508,BRYNMAWR13 KV   20BUS,BUS,LOAD,PECO,13 KV,6/30/2000 0:00,12/31/9999 0:00
205510,GRAYSFER13 KV   LOAD1,BUS,LOAD,PECO,13 KV,6/30/2000 0:00,12/31/9999 0:00
